Views,Rating,Rating Count,Log Transformed Views,Log Transformed Rating Count,Rating * Log TRC
800000,6.3,2818,5.903,3.45,21.735
800000,6.2,3294,5.903,3.518,21.812
800000,5.9,32081,5.903,4.506,26.585
800000,6.4,9740,5.903,3.989,25.53
800000,6.3,3549,5.903,3.55,22.365
800000,6.2,43524,5.903,4.639,28.762
800000,6.1,26168,5.903,4.418,26.95
800000,6.8,1394,5.903,3.144,21.379
800000,5.1,1312,5.903,3.118,15.902
700000,5.5,20649,5.845,4.315,23.733
700000,4.5,1279,5.845,3.107,13.982
700000,5.6,6124,5.845,3.787,21.207
700000,4.4,420,5.845,2.623,11.541
700000,5.5,1052,5.845,3.022,16.621
700000,5.2,17721,5.845,4.248,22.09
700000,4.8,1511,5.845,3.179,15.259
700000,6.6,3525,5.845,3.547,23.41
700000,6.2,7859,5.845,3.895,24.149
700000,6.3,4831,5.845,3.684,23.209
700000,5.7,22612,5.845,4.354,24.818
700000,6.4,2746,5.845,3.439,22.01
600000,5.8,11860,5.778,4.074,23.629
600000,5.2,17257,5.778,4.237,22.032
600000,4.8,351,5.778,2.545,12.216
600000,5.3,610,5.778,2.785,14.761
600000,3.7,157,5.778,2.196,8.125
600000,5.1,8222,5.778,3.915,19.967
600000,6,2328,5.778,3.367,20.202
600000,6.4,2308,5.778,3.363,21.523
600000,4.8,9010,5.778,3.955,18.984
600000,6.2,34544,5.778,4.538,28.136
600000,6.4,5771,5.778,3.761,24.07
600000,4.6,2400,5.778,3.38,15.548
600000,5.9,2551,5.778,3.407,20.101
600000,4.2,467,5.778,2.669,11.21
600000,4.5,1990,5.778,3.299,14.846
600000,6.1,889,5.778,2.949,17.989
600000,5.8,8250,5.778,3.916,22.713
600000,7.6,14794,5.778,4.17,31.692
600000,6.2,865,5.778,2.937,18.209
600000,6.8,595,5.778,2.775,18.87
600000,5.6,4289,5.778,3.632,20.339
500000,7.3,121183,5.699,5.083,37.106
500000,7.9,50065,5.699,4.7,37.13
500000,7.2,19832,5.699,4.297,30.938
500000,5.4,1211,5.699,3.083,16.648
500000,5.7,61331,5.699,4.788,27.292
500000,6.8,19558,5.699,4.291,29.179
500000,5.6,6488,5.699,3.812,21.347
500000,6.4,1134,5.699,3.055,19.552
500000,7,13068,5.699,4.116,28.812
500000,6.9,52538,5.699,4.72,32.568
500000,7.6,2765,5.699,3.442,26.159
